some,random,information,that,we,do,not,need,or,what
2001-01-31,0.01115,-0.004,-0.05755,-0.39403,0.07231,0.13172,-0.1139,-0.1601,0.02053
2001-02-28,0.01518,-0.00849,-0.04232,-0.42145,0.10038,0.16197,-0.11138,-0.15595,0.02704
2001-03-30,-0.00936,-0.01334,-0.02757,-0.46453,0.10141,0.18317,-0.08871,-0.14321,0.03588
2001-04-30,0.02832,0.02473,0.04033,-0.39744,0.13592,0.28106,-0.03408,-0.11592,0.0839
2001-05-31,0.0743,0.04591,0.04463,-0.34312,0.15427,0.25271,0.00186,-0.06301,0.09296
2001-06-29,0.09112,0.05468,0.05668,-0.3259,0.15439,0.29413,0.03444,-0.05064,0.10387
2001-07-31,0.09922,0.04448,0.07021,-0.33672,0.18012,0.30866,0.05409,-0.04343,0.12427
2001-08-31,0.09753,0.03612,0.06036,-0.2958,0.18094,0.28493,0.06075,-0.02157,0.09657
2001-09-28,0.1587,0.06771,0.09448,-0.2248,0.22148,0.38372,0.10166,-0.03155,0.16752
2001-10-31,0.17402,0.04285,0.11736,-0.19217,0.24248,0.40676,0.1339,-0.01225,0.16172
2001-11-30,0.1839,0.02163,0.1153,-0.176,0.23591,0.42171,0.15198,0.00243,0.16001
2001-12-31,0.20886,0.02255,0.12421,-0.15578,0.25489,0.41334,0.18001,-0.00964,0.18775
2002-01-31,0.18302,0.01824,0.11789,-0.14063,0.23104,0.36402,0.15636,-0.02045,0.15863
2002-02-28,0.19352,0.0187,0.12729,-0.15779,0.2549,0.40208,0.17426,-0.01115,0.17903
2002-03-29,0.20691,0.02507,0.12482,-0.15049,0.26614,0.39382,0.18712,-0.03033,0.17783
2002-04-30,0.21567,0.04331,0.12892,-0.16096,0.33127,0.41077,0.21388,-0.0284,0.19163
2002-05-31,0.24009,0.06412,0.1327,-0.15725,0.30736,0.40916,0.21591,-0.05554,0.18539
2002-06-28,0.26507,0.07164,0.13423,-0.15681,0.34029,0.43746,0.21955,-0.05646,0.17729
2002-07-31,0.26056,0.08581,0.13876,-0.16045,0.35465,0.46619,0.22166,-0.08979,0.17299
2002-08-30,0.24193,0.09483,0.12728,-0.15109,0.32988,0.43252,0.20592,-0.09267,0.17599
2002-09-30,0.26424,0.0857,0.13684,-0.16936,0.36313,0.4846,0.2316,-0.10255,0.18904
2002-10-31,0.25721,0.09449,0.13257,-0.13927,0.34201,0.44679,0.21968,-0.08471,0.1817
2002-11-29,0.28333,0.11866,0.14789,-0.14539,0.37553,0.49104,0.23083,-0.06136,0.21617
2002-12-31,0.29327,0.12146,0.13297,-0.11467,0.39842,0.44216,0.21782,-0.06728,0.22138
2003-01-31,0.2696,0.11419,0.11738,-0.10427,0.35337,0.3599,0.19429,-0.05705,0.20341
2003-02-28,0.28296,0.13818,0.114,-0.11341,0.37981,0.36221,0.20897,-0.06197,0.20082
2003-03-31,0.28392,0.15217,0.10818,-0.10631,0.37062,0.3604,0.19335,-0.08513,0.19124
2003-04-30,0.29464,0.17968,0.11178,-0.11452,0.37435,0.32814,0.19603,-0.08925,0.18851
2003-05-30,0.28455,0.16516,0.08896,-0.11377,0.36092,0.30435,0.16207,-0.0891,0.19123
2003-06-30,0.33701,0.20072,0.09625,-0.11775,0.37649,0.27116,0.17474,-0.07829,0.22812
2003-07-31,0.31217,0.17524,0.09031,-0.09794,0.34041,0.21305,0.15026,-0.07359,0.19553
2003-08-29,0.30331,0.14552,0.08473,-0.09629,0.32456,0.15862,0.14879,-0.07428,0.20378
2003-09-30,0.33322,0.14736,0.09106,-0.10255,0.35419,0.14658,0.15437,-0.0803,0.22054
2003-10-31,0.31629,0.14253,0.08674,-0.09082,0.33419,0.13777,0.14475,-0.07566,0.21769
2003-11-28,0.35288,0.14836,0.0876,-0.11484,0.38886,0.14279,0.14481,-0.08358,0.22469
2003-12-31,0.36779,0.13997,0.08445,-0.09616,0.37998,0.10817,0.15623,-0.07523,0.23433
2004-01-30,0.3572,0.12094,0.08317,-0.08866,0.3422,0.0841,0.12608,-0.06984,0.23045
2004-02-27,0.37218,0.10652,0.08318,-0.09459,0.37268,0.06674,0.12955,-0.07246,0.25844
2004-03-31,0.37196,0.09811,0.08165,-0.1031,0.36416,0.06989,0.09874,-0.0766,0.26861
2004-04-30,0.37527,0.08649,0.08516,-0.09501,0.38443,0.07009,0.08923,-0.07793,0.29027
2004-05-31,0.35925,0.08277,0.08113,-0.09441,0.38588,0.06852,0.08541,-0.07496,0.27527
2004-06-30,0.35844,0.06114,0.06281,-0.12261,0.38496,0.04515,0.06609,-0.08228,0.27056
2004-07-30,0.36424,0.04814,0.05108,-0.12955,0.39843,0.03698,0.05029,-0.09462,0.27644
2004-08-31,0.33321,0.04022,0.03852,-0.14709,0.40622,0.01983,0.03926,-0.10968,0.2761
2004-09-30,0.29886,0.04503,0.02222,-0.15527,0.39733,0.00564,0.01978,-0.10817,0.24788
2004-10-29,0.27452,0.05082,0.00845,-0.16569,0.38225,-0.00939,0.0045,-0.10909,0.2273
2004-11-30,0.2771,0.03363,-0.01019,-0.21113,0.39579,-0.03301,-0.01873,-0.14599,0.22363
2004-12-31,0.26628,0.02003,-0.02085,-0.21767,0.37312,-0.04294,-0.02649,-0.14433,0.21744
2005-01-31,0.2138,-0.0,-0.036,-0.19883,0.31266,-0.06266,-0.04424,-0.14651,0.16821
2005-02-28,0.2562,-0.00569,-0.05431,-0.2454,0.3627,-0.08014,-0.06304,-0.17805,0.18816
2005-03-31,0.24001,-0.02149,-0.06315,-0.25238,0.33298,-0.0762,-0.0669,-0.17298,0.15889
2005-04-29,0.21205,-0.04463,-0.0832,-0.26389,0.32288,-0.10461,-0.09071,-0.19844,0.1551
2005-05-31,0.22438,-0.05264,-0.09285,-0.28526,0.34322,-0.10709,-0.09945,-0.21549,0.1499
2005-06-30,0.19147,-0.06697,-0.10219,-0.2825,0.30515,-0.10697,-0.15315,-0.22428,0.11723
2005-07-29,0.18731,-0.08324,-0.11931,-0.30064,0.29606,-0.12666,-0.16706,-0.26257,0.08808
2005-08-31,0.16235,-0.08673,-0.13403,-0.31498,0.27479,-0.1369,-0.18281,-0.25221,0.06786
2005-09-30,0.15147,-0.08447,-0.1462,-0.3292,0.27005,-0.14602,-0.19464,-0.26951,0.05654
2005-10-31,0.11729,-0.08566,-0.16058,-0.33862,0.25896,-0.1464,-0.2064,-0.27689,0.03446
2005-11-30,0.10834,-0.09418,-0.16711,-0.39357,0.29205,-0.16961,-0.23732,-0.29786,0.02081
2005-12-30,0.10422,-0.09164,-0.16901,-0.38581,0.28526,-0.1688,-0.23096,-0.31538,0.0134
2006-01-31,0.07378,-0.07875,-0.16777,-0.35145,0.2353,-0.17605,-0.2098,-0.28297,-0.00506
2006-02-28,0.0778,-0.07296,-0.1806,-0.40592,0.23593,-0.20187,-0.22986,-0.32149,-0.0137
2006-03-31,0.05663,-0.0849,-0.18083,-0.4491,0.21948,-0.17737,-0.22852,-0.30655,-0.02882
2006-04-28,0.05078,-0.08214,-0.21857,-0.42832,0.20466,-0.2251,-0.27347,-0.3552,-0.04345
2006-05-31,0.05372,-0.07905,-0.19853,-0.42925,0.19211,-0.18828,-0.24935,-0.32646,-0.04595
2006-06-30,0.04514,-0.09626,-0.22253,-0.4677,0.18045,-0.23039,-0.2758,-0.35819,-0.06864
2006-07-31,0.05604,-0.09649,-0.22144,-0.47493,0.18832,-0.23555,-0.29058,-0.36612,-0.07228
2006-08-31,0.0596,-0.08925,-0.18539,-0.41387,0.17432,-0.19067,-0.23073,-0.31275,-0.04205
2006-09-29,0.06765,-0.08788,-0.17567,-0.46676,0.18703,-0.18272,-0.23388,-0.3059,-0.04068
2006-10-31,0.07858,-0.08661,-0.17178,-0.43936,0.18687,-0.17337,-0.22431,-0.32049,-0.02726
2006-11-30,0.07742,-0.09462,-0.15057,-0.42318,0.18713,-0.15485,-0.20617,-0.29675,-0.01779
2006-12-29,0.08682,-0.09113,-0.15316,-0.41612,0.19022,-0.14755,-0.20729,-0.29042,-0.02095
2007-01-31,0.07289,-0.08051,-0.13031,-0.38126,0.16163,-0.10975,-0.1672,-0.24955,0.00204
2007-02-28,0.07999,-0.09386,-0.13517,-0.39679,0.19435,-0.10961,-0.1706,-0.27306,0.00204
2007-03-30,0.08727,-0.08759,-0.1185,-0.43941,0.2016,-0.08654,-0.16747,-0.25672,0.00612
2007-04-30,0.08315,-0.09234,-0.12848,-0.42725,0.23987,-0.09908,-0.17053,-0.27551,0.0145
2007-05-31,0.07731,-0.09545,-0.11152,-0.40248,0.21995,-0.0764,-0.16853,-0.25329,0.02174
2007-06-29,0.07956,-0.07335,-0.10363,-0.40269,0.24235,-0.0586,-0.15003,-0.23526,0.03888
2007-07-31,0.10025,-0.0787,-0.11484,-0.42917,0.28392,-0.05738,-0.15997,-0.24627,0.04381
2007-08-31,0.08114,-0.06241,-0.13183,-0.42362,0.24401,-0.08867,-0.16666,-0.27017,0.05505
2007-09-28,0.13102,-0.03019,-0.07711,-0.37238,0.28229,0.02305,-0.10037,-0.23911,0.06481
2007-10-31,0.16924,-0.00737,-0.04809,-0.35575,0.31774,0.05062,-0.05048,-0.21679,0.09584
2007-11-30,0.11921,-0.04002,-0.06907,-0.38732,0.29915,0.02362,-0.06577,-0.24031,0.09342
2007-12-31,0.17296,-0.03952,-0.05832,-0.34343,0.36582,0.08431,-0.03188,-0.20247,0.08896
2008-01-31,0.30641,0.07932,0.0787,-0.20713,0.42598,0.18655,0.08997,-0.05811,0.17369
2008-02-29,0.37399,0.0541,0.09,-0.1973,0.47625,0.2206,0.12521,-0.04312,0.2023
2008-03-31,0.37522,0.06138,0.10284,-0.19307,0.50113,0.25667,0.14947,-0.02022,0.21608
2008-04-30,0.3962,0.0278,0.12251,-0.19922,0.5208,0.29428,0.15054,-0.04514,0.20773
2008-05-30,0.39359,0.04628,0.13737,-0.16449,0.54166,0.28535,0.16223,-0.02202,0.22543
2008-06-30,0.4463,0.04336,0.16179,-0.17722,0.55204,0.33184,0.1749,-0.04026,0.2445
2008-07-31,0.41376,0.04289,0.16101,-0.17548,0.49978,0.29393,0.17896,-0.02863,0.22945
2008-08-29,0.36957,0.04339,0.1572,-0.16323,0.45879,0.29022,0.19134,-0.03278,0.21845
2008-09-30,0.08871,-0.17133,-0.33092,-0.51884,0.37351,0.19128,-0.09714,-0.31264,-0.26613
2008-10-31,0.30194,0.03947,0.13347,-0.11017,0.37406,0.24346,0.09387,-0.03853,0.19329
2008-11-28,0.14412,0.00564,0.03308,-0.16561,0.35278,0.21213,0.02518,-0.20851,-0.01303
2008-12-31,0.3466,0.05183,0.13778,-0.063,0.49747,0.23736,0.06055,-0.03007,0.08698
2009-01-30,0.21954,0.03871,0.0452,-0.04444,0.26663,0.15903,0.06219,-0.03188,0.04024
2009-02-27,0.22111,0.00315,0.02208,-0.05315,0.21787,0.13366,0.01801,-0.05409,0.01193
2009-03-31,0.22708,-0.00715,0.00543,-0.04283,0.22452,0.14385,0.02358,-0.06686,-0.00767
2009-04-30,0.21145,-0.01347,0.01084,-0.04625,0.19361,0.1237,-0.00012,-0.04303,0.00405
2009-05-29,0.21908,-0.02008,0.02533,-0.03561,0.17816,0.09009,0.01095,-0.03282,0.00992
2009-06-30,0.24255,-0.01808,-0.0,-0.03845,0.18077,0.08355,0.01007,-0.03771,0.00243
2009-07-31,0.24519,-0.0111,-0.00652,-0.02752,0.19461,0.07957,-0.01469,-0.03253,0.00724
2009-08-31,0.23491,-0.00273,-0.00367,-0.02092,0.18245,0.08707,-0.01084,-0.02271,0.00614
2009-09-30,0.24346,-0.00466,0.00224,-0.01987,0.21034,0.0913,-0.02188,-0.0212,0.01313
2009-10-30,0.28056,-0.00093,0.00981,-0.01424,0.20771,0.11173,-0.01333,-0.0205,0.0182
2009-11-30,0.31653,0.00095,0.00998,-0.01624,0.23516,0.12899,-0.01202,-0.02291,0.0195
2009-12-31,0.31375,-0.00286,0.0066,-0.016,0.2339,0.1351,-0.01653,-0.02225,0.01734
2010-01-29,0.29454,0.00469,0.00497,-0.00916,0.19452,0.12819,-0.00341,-0.01613,0.02122
2010-02-26,0.35987,0.00473,0.00558,-0.01439,0.23513,0.16195,-0.00548,-0.02144,0.02431
2010-03-31,0.32729,0.00099,-0.00277,-0.01658,0.20033,0.13654,-0.00653,-0.0228,0.01714
2010-04-30,0.3502,-0.00889,-0.00952,-0.02765,0.20005,0.14266,-0.01173,-0.04082,0.01437
2010-05-31,0.33923,0.00762,-0.02949,-0.03976,0.19764,0.13761,-0.03143,-0.08313,-0.00482
2010-06-30,0.36742,0.01882,-0.01628,-0.04859,0.21254,0.15949,0.00244,-0.04359,0.00201
2010-07-30,0.39737,0.03592,0.002,-0.02492,0.23912,0.16419,0.0166,-0.03346,0.01469
2010-08-31,0.3899,0.04688,0.0026,-0.03286,0.24869,0.16892,0.04775,-0.02564,0.02147
2010-09-30,0.37594,0.06821,0.02443,-0.02681,0.24501,0.16362,0.08183,-0.02866,0.02221
2010-10-29,0.35642,0.0668,0.03481,-0.02296,0.24219,0.1544,0.0896,-0.02135,0.02189
2010-11-30,0.40622,0.06326,0.01265,-0.04894,0.2692,0.1482,0.09792,-0.05319,0.02055
2010-12-31,0.40789,0.06338,0.00343,-0.03428,0.25506,0.15128,0.10154,-0.03756,0.02427
2011-01-31,0.34887,0.05697,0.03574,-0.01732,0.22018,0.13962,0.1116,-0.02661,0.02123
2011-02-28,0.40354,0.0636,0.04378,-0.01854,0.22783,0.17377,0.15959,-0.02905,0.02644
2011-03-31,0.37116,0.06577,0.05658,-0.01664,0.19422,0.15498,0.14352,-0.0153,0.03369
2011-04-29,0.39074,0.06953,0.08416,-0.01306,0.20704,0.17945,0.1661,-0.01267,0.04138
2011-05-31,0.41913,0.08254,0.07421,-0.01045,0.22149,0.20071,0.16388,-0.01524,0.04011
2011-06-30,0.39172,0.07768,0.0904,-0.01485,0.20969,0.19216,0.17639,-0.01544,0.038
2011-07-29,0.42918,0.06601,0.06684,-0.04223,0.20965,0.18349,0.16189,-0.0533,0.0329
2011-08-31,0.40563,0.07463,0.03901,-0.02418,0.22038,0.17278,0.17142,-0.08808,0.0344
2011-09-30,0.41384,0.07578,0.02607,-0.04255,0.2174,0.15114,0.16061,-0.05616,0.03082
2011-10-31,0.36596,0.06944,0.03209,-0.05399,0.21449,0.14805,0.16287,-0.0448,0.02974
2011-11-30,0.37278,0.07865,-0.03304,-0.0911,0.23307,0.14655,0.15661,-0.09343,0.02925
2011-12-30,0.37326,0.06774,-0.02124,-0.04744,0.22587,0.10484,0.16878,-0.0492,0.02896
2012-01-31,0.32247,0.06679,-0.00669,-0.03004,0.19137,0.11516,0.13956,-0.0348,0.02282
2012-02-29,0.35355,0.07104,-0.013,-0.02396,0.21251,0.13324,0.12204,-0.03331,0.02129
2012-03-30,0.3387,0.05902,-0.01566,-0.02856,0.204,0.11547,0.1223,-0.0343,0.0194
2012-04-30,0.35247,0.06577,-0.01083,-0.0278,0.22515,0.12265,0.12783,-0.03636,0.02156
2012-05-31,0.28604,0.06949,-0.01201,-0.03022,0.19983,0.11789,0.12068,-0.05559,0.01559
2012-06-29,0.29541,0.06766,-0.02531,-0.04436,0.2055,0.11097,0.11482,-0.07398,0.00701
2012-07-31,0.30415,0.06882,-0.03653,-0.03251,0.21702,0.12112,0.13351,-0.07487,0.00191
2012-08-31,0.27741,0.06179,-0.03094,-0.02272,0.1981,0.11112,0.1212,-0.042,0.01133
2012-09-28,0.29126,0.06502,-0.02895,-0.02544,0.20124,0.11348,0.09055,-0.05322,0.00929
2012-10-31,0.23803,0.06201,-0.0265,-0.02439,0.19969,0.11098,0.09068,-0.05049,0.00993
2012-11-30,0.24051,0.0624,-0.03459,-0.0388,0.20248,0.11241,0.08962,-0.04643,0.00312
2012-12-31,0.2376,0.06526,-0.02764,-0.02533,0.20141,0.11547,0.07453,-0.06338,0.00861
2013-01-31,0.21395,0.06005,-0.01805,-0.01818,0.18462,0.11209,0.06017,-0.02526,0.01577
2013-02-28,0.23903,0.06807,-0.0234,-0.0195,0.20525,0.11493,0.06871,-0.03108,0.01779
2013-03-29,0.22216,0.06396,-0.02232,-0.01956,0.20068,0.11806,0.06657,-0.03908,0.01647
2013-04-30,0.24111,0.07553,-0.02022,-0.01498,0.2229,0.11857,0.0681,-0.02692,0.02121
2013-05-31,0.22218,0.07061,-0.01723,-0.01218,0.20839,0.11327,0.07279,-0.0344,0.02111
2013-06-28,0.22821,0.07296,-0.01196,-0.01157,0.22036,0.10672,0.07154,-0.02325,0.0211
2013-07-31,0.21967,0.07876,-0.01154,-0.01627,0.22011,0.11829,0.07173,-0.0226,0.02243
2013-08-30,0.19791,0.07297,-0.01214,-0.01344,0.20317,0.11106,0.06792,-0.0236,0.02263
2013-09-30,0.21546,0.07585,-0.00692,-0.01906,0.22236,0.12197,0.07672,-0.02323,0.02532
2013-10-31,0.19584,0.07764,-0.00348,-0.01467,0.20317,0.10906,0.0726,-0.02761,0.02179
2013-11-29,0.19945,0.07742,0.00348,-0.03,0.21459,0.11537,0.06714,-0.03099,0.02198
2013-12-31,0.2027,0.07621,0.00352,-0.01541,0.22381,0.11663,0.05308,-0.02362,0.01932
2014-01-31,0.18754,0.06545,-0.00276,-0.01373,0.19308,0.10265,0.04597,-0.02319,0.02069
2014-02-28,0.20658,0.07315,0.00424,-0.01578,0.22519,0.11544,0.05182,-0.02044,0.02268
2014-03-31,0.20392,0.06974,0.00775,-0.01661,0.22959,0.11568,0.04703,-0.02491,0.0222
2014-04-30,0.21207,0.07469,0.00922,-0.0188,0.26341,0.12366,0.0563,-0.02272,0.02369
2014-05-30,0.20734,0.07273,0.00488,-0.01818,0.28423,0.11829,0.05642,-0.02797,0.02206
2014-06-30,0.244,0.08258,-0.0119,-0.02498,0.2974,0.12117,0.03963,-0.0282,0.02515
2014-07-31,0.21111,0.07529,-0.00889,-0.0178,0.30089,0.10855,0.01347,-0.0198,0.02488
2014-08-29,0.20671,0.06912,-0.01751,-0.02311,0.28831,0.10436,0.00861,-0.02621,0.02288
2014-09-30,0.22853,0.07871,-0.02002,-0.02215,0.31739,0.11079,0.01332,-0.02407,0.02714
2014-10-31,0.20615,0.07359,-0.01922,-0.0223,0.28966,0.10319,-0.00649,-0.02182,0.02438
2014-11-28,0.21617,0.07364,-0.01785,-0.06279,0.33176,0.10913,-0.00712,-0.04464,0.0166
2014-12-31,0.22186,0.06646,-0.03094,-0.02611,0.33449,0.08706,-0.01048,-0.05134,0.02373
2015-01-30,0.18012,0.04179,-0.02366,-0.02793,0.27594,0.08228,-0.02357,-0.14684,0.01798
2015-02-27,0.19804,0.04644,-0.03843,-0.0456,0.33621,0.09209,-0.03322,-0.13722,0.0233
2015-03-31,0.18548,0.03631,-0.04009,-0.04779,0.30985,0.09153,-0.04558,-0.12981,0.02088
2015-04-30,0.17061,0.0421,-0.03954,-0.02816,0.30123,0.08914,-0.05942,-0.10679,0.02148
2015-05-29,0.15867,0.04886,-0.03869,-0.04264,0.27865,0.08384,-0.0569,-0.10606,0.02097
2015-06-30,0.17781,0.04324,-0.03989,-0.03719,0.27985,0.07369,-0.06305,-0.11777,0.02099
2015-07-31,0.18441,0.02075,-0.04012,-0.02898,0.25624,0.06837,-0.05226,-0.09681,0.02179
