,AUD,CAD,EUR,JPY,NZD,NOK,SEK,CHF,GBP
1998-08-31,-5.82208,-3.69134,0.66742,1.80926,-3.12683,-3.95646,-2.03566,2.7235,2.52564
1998-09-30,3.44423,2.51278,5.31949,3.27689,1.00297,6.40241,3.13166,4.12483,1.65152
1998-10-30,5.01506,-1.33484,0.75353,16.30267,5.73409,0.62668,0.12447,1.86752,-1.29027
1998-11-30,1.00394,1.14613,-2.18772,-5.60161,-0.40014,-1.00944,-3.73744,-3.01401,-1.27577
1998-12-31,-2.51578,-0.47461,1.33886,8.42199,-0.06999,-1.77517,-0.1135,0.95377,0.91468
1999-01-29,2.38687,1.6681,-3.43456,-3.39267,1.85973,1.43432,3.71296,-3.54752,-1.16118
1999-02-26,-1.18555,0.08811,-3.47309,-2.33881,-2.75716,-4.62704,-5.07124,-2.34076,-2.4105
1999-03-31,1.67259,-0.20756,-1.80117,-0.21912,1.71657,2.69447,-0.28943,-2.44038,0.82506
1999-04-30,4.93297,3.87077,-2.17288,-1.22314,4.89222,-0.56765,-2.39151,-3.08637,-0.23237
1999-05-31,-2.12901,-1.39026,-1.62517,-2.39706,-4.55008,-1.28773,-2.48897,-0.5427,-0.39079
1999-06-30,2.01134,-0.24863,-1.30549,0.21852,-0.85505,0.52271,1.13856,-2.17998,-1.65648
1999-07-30,-1.37666,-1.41467,3.54802,5.00327,0.01697,1.19486,3.49146,3.76289,2.74959
1999-08-31,-2.47062,0.52942,-1.52346,4.20767,-2.5613,-0.66199,-0.89297,-1.81308,-0.7475
1999-09-30,2.36467,1.49166,0.57606,2.49977,-0.1817,1.29571,0.52879,0.56844,2.38103
1999-10-29,-2.4026,-0.15841,-1.54441,1.55471,-2.03592,-1.14856,-0.68158,-1.86979,-0.36856
1999-11-30,-0.29151,-0.20908,-4.3992,1.67735,0.62185,-2.66204,-3.27138,-4.55717,-2.94096
1999-12-31,2.81221,1.35396,-0.71593,-0.71369,2.18878,0.25755,-0.72925,-1.00269,1.13579
2000-01-31,-2.59293,0.09663,-2.61468,-4.87459,-5.09774,-2.82061,-3.04998,-3.00037,0.55213
2000-02-29,-3.75923,-0.21158,-1.80113,-3.00988,-1.98018,-1.43589,0.12262,-1.77715,-2.60237
2000-03-31,-1.2055,-0.13018,-0.8273,6.56413,2.25635,-0.61558,1.29456,0.01504,1.06366
2000-04-28,-3.90609,-2.08747,-4.96599,-5.63544,-2.13169,-5.70191,-3.67642,-3.64138,-1.93098
2000-05-31,-2.25037,-1.14175,1.55002,-0.16299,-6.0636,-0.16738,-0.87374,1.20118,-4.49812
2000-06-30,5.18765,1.00358,3.1484,1.19229,3.07608,4.80597,2.52024,3.90197,1.22769
2000-07-31,-3.61723,-0.35604,-3.53278,-4.01487,-3.51492,-3.50946,-4.60087,-2.8788,-1.13412
2000-08-31,-0.25605,0.68082,-4.2461,2.12866,-5.74925,-2.38859,-3.04986,-4.51968,-2.91013
2000-09-29,-6.29559,-2.05769,-0.90101,-1.82029,-5.07659,-0.01818,-2.25838,0.54096,1.56416
2000-10-31,-4.34479,-1.55438,-4.09621,-1.61324,-2.37363,-2.33858,-4.08433,-4.15216,-1.83877
2000-11-30,1.42548,-0.69035,2.55252,-1.97454,3.34056,0.36507,-0.34051,3.27745,-2.43374
2000-12-29,5.62416,2.23835,7.6878,-3.49869,7.85317,5.1993,6.03837,6.80963,5.29581
2001-01-31,-1.21228,-0.0353,-1.09833,-2.30124,0.0452,-0.14312,-1.2218,-1.71046,-2.25056
2001-02-28,-4.5404,-1.91795,-1.17119,-1.25095,-3.11497,-1.06037,-3.221,-2.00191,-1.26985
2001-03-30,-6.83415,-2.78991,-3.9096,-6.79724,-5.52818,-1.64231,-4.78172,-3.11182,-1.40166
2001-04-30,4.59648,2.46599,0.26245,0.97478,2.03173,0.13496,0.38312,-0.65537,0.67974
2001-05-31,-0.72729,-0.58991,-4.3558,3.5558,-0.73833,-2.42727,-4.63298,-3.40635,-0.62955
2001-06-29,0.31249,1.91816,-0.08094,-5.05693,-1.512,0.58163,-1.09229,-0.25758,-0.91103
2001-07-31,-0.07623,-0.65232,3.41371,-0.45706,2.47209,2.46326,2.46779,4.00544,1.44211
2001-08-31,3.79736,-1.35604,3.89049,4.58821,6.46592,3.38175,1.75369,3.44797,1.90181
2001-09-28,-6.08359,-1.83832,0.32129,-0.39998,-6.74217,0.25255,-1.98868,3.23167,1.42507
2001-10-31,2.41057,-0.36745,-1.00714,-2.89408,1.72456,0.24996,0.41327,-1.03558,-0.88193
2001-11-30,3.25092,0.99128,-0.47381,-0.7716,0.97111,-0.16904,-0.33086,-0.85621,-1.78381
2001-12-31,-1.39692,-1.51976,-0.44068,-6.22349,0.3567,0.01394,2.01102,-0.8107,2.22157
2002-01-31,-0.80919,0.40624,-3.19424,-2.18202,0.15891,-1.07042,-1.23496,-3.02354,-2.71362
2002-02-28,2.05391,-0.87317,0.59617,-0.17784,1.26735,2.54077,1.84205,0.4195,0.24025
2002-03-29,3.59956,0.58919,0.98488,0.81412,5.00203,1.301,1.19664,1.3325,0.85914
2002-04-30,0.81615,1.66274,3.41857,3.06519,1.92925,5.48008,0.99657,3.77693,2.52063
2002-05-31,5.64735,2.77356,3.8118,3.29439,7.39429,5.34428,5.73268,3.37248,0.59401
2002-06-28,-0.58865,0.53126,5.85134,3.37894,1.71089,7.2072,6.19607,5.21602,4.36923
2002-07-31,-2.7906,-3.93297,-0.59351,-0.07331,-3.12984,-1.06844,-3.13397,0.37519,2.66833
2002-08-30,1.47764,1.64487,0.16898,0.84595,0.07705,1.61701,1.51693,-1.34137,-0.80477
2002-09-30,-1.12392,-1.55844,0.89637,-2.75505,0.63082,2.08142,1.44783,1.77233,1.84046
2002-10-31,2.41658,1.40913,0.34481,-0.79667,4.04451,0.13716,1.4363,-0.30551,-0.33001
2002-11-29,1.41051,0.02426,0.58082,-0.14325,2.96364,1.99904,1.29228,-0.56964,-0.35924
2002-12-31,0.58932,-0.71781,5.65028,3.09008,5.24516,6.23214,4.28139,7.21704,3.68791
2003-01-31,4.40792,3.27239,2.4303,-1.17225,4.46816,0.15401,1.38747,1.03612,2.32578
2003-02-28,3.79984,2.92321,0.5202,1.34489,2.62178,-2.68314,1.41674,0.79794,-3.97839
2003-03-31,-0.13662,1.42153,1.36246,-0.41238,-0.06132,-0.90399,0.56434,0.27452,0.55409
2003-04-30,3.81201,2.68995,2.38459,-0.67583,1.31317,4.07414,3.85907,-0.44238,1.30702
2003-05-30,4.47991,4.65157,5.50604,-0.40258,3.60514,4.90392,5.50453,4.04161,2.70241
2003-06-30,3.20966,1.2379,-2.27637,-0.50468,1.7696,-7.00155,-2.80077,-3.93193,0.91303
2003-07-31,-3.03711,-3.32114,-1.89106,-0.50711,-0.60866,-0.08352,-2.35856,-1.42098,-2.36517
2003-08-29,0.18112,1.69917,-2.37054,3.21135,-0.10905,-3.15695,-1.62895,-2.0392,-1.40621
2003-09-30,4.89108,2.94342,6.16333,4.34382,3.25435,6.40811,8.25103,5.97531,5.24982
2003-10-31,5.18244,2.53329,-0.0844,1.51499,3.81854,-0.08201,-0.68582,-1.18396,2.36527
2003-11-28,2.3015,1.54089,3.19983,0.2878,4.34357,3.78697,3.38865,3.21717,1.57034
2003-12-31,4.49289,0.74134,5.31923,2.07549,3.1468,2.71089,5.16657,4.44067,4.3217
2004-01-30,1.3819,-2.73151,-1.42535,1.14974,2.4906,-5.02267,-2.76267,-1.95017,1.91998
2004-02-27,1.74146,-0.72592,0.09592,-3.20685,2.61054,-0.30329,-0.31635,-0.8291,2.18825
2004-03-31,-0.6785,2.20126,-1.01096,4.92305,-2.51849,2.59691,-1.15961,0.17997,-0.71096
2004-04-30,-5.05304,-4.34176,-2.37198,-5.82411,-5.70304,0.15452,-1.18726,-2.36927,-3.25001
2004-05-31,-0.81877,0.86765,1.95361,-0.24863,0.84256,2.28808,2.56222,3.28364,3.68961
2004-06-30,-2.03048,1.86314,-0.28615,1.19663,1.45703,-3.11044,-0.94691,0.08464,-0.81546
2004-07-30,0.89268,0.94582,-0.98122,-2.21946,0.18021,-0.95579,-1.77185,-2.18705,0.54462
2004-08-31,1.20228,0.91378,0.99295,1.42667,3.94785,1.38878,2.19572,0.79571,-0.79849
2004-09-30,2.91866,4.15472,2.23655,-0.57279,3.42163,2.64532,3.23549,1.4383,0.86734
2004-10-29,3.42957,3.8016,2.4422,3.62934,1.62366,5.31974,2.36871,3.82038,1.50853
2004-11-30,4.16124,2.63404,4.49035,3.13167,5.12994,4.41939,5.7097,5.46972,4.55983
2004-12-31,1.31239,-0.72612,2.26214,0.10559,1.21633,1.02499,1.24281,-0.07563,0.66431
2005-01-31,-0.87935,-3.41406,-4.1189,-1.16746,-1.17564,-4.7094,-4.90951,-4.46277,-1.54667
2005-02-28,2.65763,0.93964,1.78894,-0.99295,2.85924,2.53989,2.34272,2.48359,2.27146
2005-03-31,-2.30555,1.59359,-2.13968,-2.7399,-1.87321,-2.01698,-3.17753,-3.01703,-1.68984
2005-04-29,1.17843,-3.61449,-0.73265,1.69223,3.02851,0.25407,-1.2114,-0.05124,1.23503
2005-05-31,-2.73268,0.01914,-4.43245,-2.91023,-3.2121,-1.90556,-3.86533,-4.57108,-4.42541
2005-06-30,0.80779,2.34242,-2.04085,-3.01597,-1.14792,-2.07272,-5.27292,-3.02709,-1.50399
2005-07-29,-0.09959,-0.16069,0.22668,-1.42522,-1.49637,0.81211,0.50012,-0.53846,-1.66169
2005-08-31,-0.98488,3.09991,1.1306,0.56103,1.63222,1.27177,1.99238,1.85387,2.24553
2005-09-30,1.82894,2.28072,-2.09777,-2.25384,0.41999,-2.21158,-1.93375,-2.63487,-1.57066
2005-10-31,-2.01238,-1.68963,-0.80042,-2.95305,1.20313,0.22045,-3.12834,-0.41205,0.1216
2005-11-30,-0.81989,0.85491,-1.7282,-3.045,0.7034,-3.59441,-1.62858,-2.06291,-2.2174
2005-12-30,-0.78527,-0.05992,-0.1158,0.97856,-2.83207,-0.73413,1.2697,-0.54706,-0.76819
2006-01-31,3.22988,2.07994,2.77217,0.43608,0.87467,1.5363,4.26967,2.55249,3.5438
2006-02-28,-1.72409,0.39105,-1.98116,0.71599,-3.13707,-1.5256,-4.03006,-2.60512,-1.47347
2006-03-31,-3.93872,-2.527,1.31729,-2.23256,-7.45564,2.62599,1.36482,0.04515,-0.96718
2006-04-28,6.46963,4.02124,3.90159,2.85578,4.26163,6.0497,5.28189,4.75176,4.76067
2006-05-31,-0.62176,1.69672,1.74755,1.42886,0.17335,1.52043,2.07712,2.00329,2.90689
2006-06-30,-1.3654,-1.08084,-0.64854,-2.34895,-3.82706,-2.61498,-0.07871,-1.13959,-1.2077
2006-07-31,3.18862,-1.70051,-0.41759,-0.57098,1.23143,0.66366,-0.50608,-0.8714,0.87691
2006-08-31,-0.28922,1.74904,0.08246,-2.89227,6.36344,-2.41023,-0.46868,-0.49475,1.80636
2006-09-29,-2.2203,-0.61758,-1.2228,-1.07094,-0.07805,-3.46483,-1.52991,-1.98174,-1.83925
2006-10-31,3.76907,-0.51586,0.58342,0.30746,2.74214,-0.52286,1.24671,0.50408,2.06239
2006-11-30,2.09388,-1.97198,3.67469,0.85288,2.44651,6.0184,5.31946,3.49067,3.10729
2006-12-29,-0.07936,-1.95755,-0.66882,-3.34724,3.17983,-1.23556,-0.23075,-2.14631,-0.52099
2007-01-31,-1.64131,-1.50457,-1.60587,-1.90129,-2.33887,-0.73493,-1.99094,-2.45552,-0.00817
2007-02-28,1.79839,0.58846,1.51893,1.70038,2.07814,1.84238,-0.86424,1.92352,0.1221
2007-03-30,2.60818,1.54293,0.63978,-0.05014,2.27582,0.52948,-0.16405,-0.24001,0.08369
2007-04-30,3.12232,4.29715,2.40109,-1.62981,4.11878,2.54685,4.41256,0.90909,1.96917
2007-05-31,-0.48342,3.27659,-1.52671,-2.31458,-0.5154,-1.56872,-3.118,-1.80097,-1.07324
2007-06-29,2.58824,0.40705,0.25412,-1.75659,5.00455,2.11958,0.63597,-0.26518,1.45019
2007-07-31,1.07092,-0.44767,1.24576,3.30383,-0.23096,1.37894,1.61801,1.60545,1.32032
2007-08-31,-4.95475,0.85645,-0.51859,2.27762,-8.4868,-0.04878,-2.33338,-0.6505,-0.69468
2007-09-28,8.86461,6.38925,4.18179,0.35648,7.95211,7.27908,6.2966,3.15357,1.06204
2007-10-31,4.86174,4.59044,1.65255,-0.60502,2.08104,0.59633,1.59501,0.54873,2.02944
2007-11-30,-4.4074,-4.989,1.40718,3.56151,-0.00783,-2.71998,-0.47758,2.43479,-0.92562
2007-12-31,-0.59915,1.2412,-0.46496,-1.09099,0.679,2.14297,-1.2223,-0.51318,-3.09751
2008-01-31,1.80941,-2.1464,1.21276,4.70915,2.17284,-0.12626,0.96636,4.18257,-0.04173
2008-02-29,5.14144,3.02226,2.61109,1.92114,2.79847,4.50918,3.81141,3.83886,0.23431
2008-03-31,-2.04644,-4.49491,4.47298,4.3852,-1.48981,2.87342,4.17676,5.49012,0.11687
2008-04-30,3.62053,1.9442,-1.64617,-4.94402,-0.08565,-0.29726,-0.91811,-5.05977,-0.13413
2008-05-30,1.58053,1.37667,-0.06039,-1.19642,0.70865,0.44607,-0.03447,-0.35128,-0.01214
2008-06-30,1.04698,-2.00976,1.52495,-0.57875,-2.27524,0.46,-0.01081,2.54467,0.93318
2008-07-31,-1.55291,-1.02969,-0.81289,-2.09807,-3.27119,-0.44262,-0.42666,-2.84447,-0.22113
2008-08-29,-8.05653,-3.19479,-5.48609,-0.58005,-3.43857,-4.81789,-5.60247,-4.61146,-7.71165
2008-09-30,-8.06855,-0.27182,-4.43926,2.05623,-4.61705,-8.25026,-7.71718,-2.07447,-2.06157
2008-10-31,-16.28485,-12.70469,-10.02658,7.3875,-12.65536,-12.01064,-10.62897,-4.30632,-9.59322
2008-11-28,-0.99916,-2.00371,0.20177,3.14631,-5.35033,-3.68829,-3.67115,-3.87354,-4.84798
2008-12-31,7.21747,0.5484,9.58104,4.8951,7.00945,0.2832,2.44298,13.88359,-6.31414
2009-01-30,-8.47542,-0.37988,-7.67986,0.87173,-12.81169,1.55382,-4.61004,-8.32859,0.36199
2009-02-27,0.68415,-2.2477,-0.84808,-8.25274,-0.94927,-1.82108,-7.7323,-0.40086,-1.09429
2009-03-31,9.00114,0.85363,4.56113,-0.98916,14.20482,4.56273,8.83263,2.40271,0.57326
2009-04-30,5.98097,5.88839,-0.19106,0.34834,-0.13521,2.81869,2.66621,-0.23355,3.37226
2009-05-29,9.18129,8.40847,6.83264,3.02185,12.83474,4.67099,6.25696,6.75231,8.82813
2009-06-30,1.22054,-5.66324,-0.87855,-1.10275,1.32799,-2.1771,-2.15311,-1.97232,2.1372
2009-07-31,3.08074,7.40357,1.07281,1.31615,1.81247,4.64644,6.35979,1.01185,0.67039
2009-08-31,1.65901,-1.5725,1.21506,2.59128,4.36483,2.61501,2.58612,1.80253,-1.68483
2009-09-30,4.9301,2.32181,1.85344,3.58587,5.68298,3.5629,1.52985,1.82721,-1.86231
2009-10-30,2.63535,-0.36669,0.94527,-1.10781,0.1413,1.92527,-0.87382,1.2868,3.07728
2009-11-30,1.58286,2.17595,1.76403,5.06368,-0.85251,0.44851,0.89867,1.97062,-0.42171
2009-12-31,-1.43601,0.56374,-4.42504,-7.48052,1.97318,-1.56955,-2.12518,-2.87594,-1.58035
2010-01-29,-0.85394,-1.61239,-3.12049,2.67509,-2.88587,-1.84846,-2.75806,-1.95238,-0.75376
2010-02-26,1.0411,0.81366,-1.8093,2.00496,-0.7575,-0.15803,3.21984,-1.75895,-4.97235
2010-03-31,2.86903,4.18412,-0.84541,-4.90988,1.85026,-0.264,-1.18438,1.90205,-0.33705
2010-04-30,1.74826,0.16883,-1.73629,-0.6228,3.16609,0.65554,-0.71835,-2.38312,0.92375
2010-05-31,-9.57952,-3.48692,-7.72257,3.23942,-7.61086,-8.81289,-7.42373,-6.73302,-5.06263
2010-06-30,1.0477,-1.24406,-0.20792,2.83513,2.28777,-0.14101,0.5717,7.05151,2.96486
2010-07-30,7.56929,3.19433,6.34405,2.06209,5.56114,7.24861,7.6412,3.02318,4.68093
2010-08-31,-1.28832,-3.37882,-2.4446,3.17781,-3.05416,-3.34258,-1.8907,3.14596,-1.85009
2010-09-30,9.21206,3.99669,7.42287,0.4817,5.25751,7.65155,9.55747,3.7658,2.55309
2010-10-29,1.61382,0.87952,1.82987,3.68418,4.23169,-0.39582,0.46773,-0.69446,1.48212
2010-11-30,-1.80832,-0.85873,-6.30703,-3.86593,-2.49033,-5.02246,-4.57711,-1.34544,-2.57124
2010-12-31,7.31632,3.43179,3.0688,3.23531,5.29011,6.99888,4.70991,6.87373,0.55362
2011-01-31,-2.337,-0.59685,2.19753,-1.04088,-0.80338,0.78515,4.65658,-0.84074,2.33059
2011-02-28,2.49017,2.6956,0.7846,-0.01732,-2.57374,3.28146,1.70037,1.07053,1.56674
2011-03-31,1.97019,0.24878,2.78769,-1.16456,1.74205,1.41438,0.49949,1.56638,-1.42183
2011-04-29,6.21332,2.58629,4.6029,2.12743,6.06618,5.75066,4.81236,5.32673,4.09009
2011-05-31,-2.2506,-1.99618,-3.02021,-0.13613,2.08742,-2.72343,-2.34662,1.81029,-1.27814
2011-06-30,0.89488,0.47145,0.93109,0.58384,0.6238,0.76023,-1.86068,1.2791,-2.42146
2011-07-29,3.00395,1.22622,-0.79938,4.60942,6.02182,-0.37398,0.21466,6.80919,2.28434
2011-08-31,-2.08413,-2.35926,0.26207,0.89893,-2.06085,1.063,-0.09772,-2.31508,-0.77455
2011-09-30,-8.87926,-6.09088,-6.77574,-0.81537,-10.29432,-8.73361,-7.76477,-11.29142,-4.29382
2011-10-31,9.61747,4.9927,3.98517,-1.18986,6.47141,6.62677,6.38932,4.24782,3.64601
2011-11-30,-2.81789,-2.24342,-3.4586,0.3902,-4.05499,-4.26412,-3.96299,-4.36631,-2.52972
2011-12-30,0.16801,-0.06875,-3.59938,0.80493,0.56853,-3.19859,-1.47083,-2.75906,-1.16005
2012-01-31,4.04859,1.60443,0.81855,0.85705,6.17468,1.98204,0.84413,1.63549,1.5705
2012-02-29,1.99594,1.88537,2.18179,-5.8227,2.22836,5.52562,3.69862,2.04585,1.25246
2012-03-30,-3.77909,-1.38076,-0.46231,-1.67009,-2.6099,-2.43494,-0.77795,-0.3651,0.04007
2012-04-30,0.83423,1.22375,-0.62462,3.03903,0.04524,-0.30916,-1.1881,-0.45282,1.65327
2012-05-31,-6.50275,-4.55686,-6.59123,1.79533,-7.95164,-6.16274,-7.41115,-6.63031,-5.19557
2012-06-29,5.98589,1.67443,2.62198,-1.75296,7.18096,2.94073,5.46448,2.61067,1.91954
2012-07-31,2.96621,1.77991,-2.97777,2.11858,1.21556,-1.06482,1.78491,-3.03962,-0.09819
2012-08-31,-1.49807,1.63551,2.31173,-0.28785,-0.82583,3.96875,2.66656,2.32207,1.37736
2012-09-28,0.9038,0.35673,2.03388,0.61981,3.6031,1.29507,1.1146,1.31943,1.67677
2012-10-31,0.00726,-1.49175,0.69301,-2.68959,-0.83592,0.38446,-1.09805,0.86985,-0.22296
2012-11-30,0.84836,0.68153,0.34247,-3.10354,0.02316,0.92241,-0.25951,0.4674,-0.51152
2012-12-31,-0.24561,-0.17375,1.33333,-4.65738,0.73383,1.87898,2.44749,1.16021,1.42893
2013-01-31,0.70764,-0.25029,2.92803,-5.27821,2.06598,1.77607,2.31334,0.46897,-2.45546
2013-02-28,-1.63867,-2.78197,-3.70375,-1.10188,-1.15641,-4.21396,-1.21899,-2.45714,-4.24237
2013-03-29,2.07606,1.2599,-1.80219,-1.89108,1.28112,-1.78688,-0.80083,-1.48265,0.05074
2013-04-30,-0.20863,1.06875,2.64981,-3.49901,2.57437,1.43025,0.51258,1.89784,2.51614
2013-05-31,-7.41753,-2.60655,-1.71951,-3.54504,-6.83926,-2.0656,-2.54912,-3.22009,-2.56865
2013-06-28,-4.31247,-1.95933,0.28179,1.63861,-2.94569,-3.50357,-1.44619,1.38667,0.06069
2013-07-31,-1.73012,2.6915,2.13992,0.9847,3.28964,3.35675,3.34124,1.80595,-0.02176
2013-08-30,-0.54037,-2.46848,-0.70923,0.22831,-2.6001,-3.385,-1.46969,-0.37109,2.05778
2013-09-30,5.19096,2.70162,2.64872,-0.02364,7.8914,2.01289,3.41829,3.08875,4.71048
2013-10-31,1.49221,-1.35878,0.4275,-0.00376,-0.39709,1.24148,-0.66481,-0.16675,-0.76529
2013-11-29,-3.30537,-1.42061,0.14619,-4.17076,-1.1706,-2.64407,-0.92106,0.18259,1.97977
2013-12-31,-1.90764,-0.28047,1.2083,-2.63613,1.03112,0.92569,1.83321,1.57643,1.1333
2014-01-31,-2.27649,-4.6316,-2.13397,3.04339,-1.51727,-3.4313,-1.83603,-1.823,-0.75366
2014-02-28,2.75203,0.78865,2.41941,-0.0921,4.09569,5.09448,2.24115,2.79746,1.99256
2014-03-31,3.79042,0.36331,-0.20718,-0.90897,3.50565,0.18156,-1.1503,-0.30905,-0.49658
2014-04-30,0.1733,0.64422,0.6104,0.80069,-0.76927,0.63599,-0.46494,0.30439,1.30611
2014-05-30,0.66059,1.1438,-1.58161,0.37918,-0.90332,-0.16791,-2.38229,-1.53252,-0.63975
2014-06-30,1.62475,2.01756,0.34442,0.41607,3.40857,-2.53785,-0.02812,0.77808,1.96007
2014-07-31,-1.26167,-2.0778,-2.2863,-1.51242,-2.77221,-2.45012,-3.15597,-2.50192,-1.23551
2014-08-29,0.81612,0.43512,-1.56447,-1.02835,-1.0754,2.06712,-0.92336,-0.73484,-1.60734
2014-09-30,-6.24545,-2.86788,-4.11174,-5.31838,-6.61803,-3.7227,-3.28159,-4.17478,-2.36212
2014-10-31,0.67809,-0.80004,-0.83982,-2.17145,0.11841,-4.75678,-2.57951,-0.74601,-1.28709
2014-11-28,-2.69922,-1.04977,-0.51947,-5.56515,1.20544,-3.53819,-0.56612,-0.13077,-2.08883
2014-12-31,-3.91076,-1.48155,-2.94995,-1.07135,-0.10225,-6.45611,-4.9421,-3.07754,-0.41768
2015-01-30,-4.62789,-8.59103,-6.7736,2.04206,-6.82807,-3.17941,-5.37954,7.94413,-3.65519
2015-02-27,0.6932,1.58812,-0.62568,-1.76737,4.55236,1.65958,-0.84225,-3.09072,2.91483
2015-03-31,-2.20488,-1.3636,-4.28434,-0.36231,-0.57146,-5.23408,-3.31712,-2.53269,-3.91835
2015-04-30,3.43775,4.59938,4.28944,0.1652,1.84194,7.04638,3.23064,3.5372,3.54133
2015-05-29,-2.79094,-2.92329,-2.19681,-3.59297,-6.25906,-3.27635,-2.32398,-0.78974,-0.68145
2015-06-30,0.57122,0.03284,1.59,1.37057,-4.68876,-0.80407,2.9116,0.83463,3.08528
